f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_backyard,d_backyard1,d_baking_sheet,d_baking_sheet1,d_barbecue_utensils,d_barbecue_utensils1,d_bathtub,d_bathtub1,d_bed_linens,d_bed_linens1,d_board_games,d_board_games1,d_building_staff,d_building_staff1,d_carbon_monoxide_alarm,d_carbon_monoxide_alarm1,d_cleaning_before_checkout,d_cleaning_before_checkout1,d_cleaning_products,d_cleaning_products1,d_cooking_basics,d_cooking_basics1,d_dining_table,d_dining_table1,d_dishes_and_silverware,d_dishes_and_silverware1,d_drying_rack_for_clothing,d_drying_rack_for_clothing1,d_elevator,d_elevator1,d_essentials,d_essentials1,d_ethernet_connection,d_ethernet_connection1,d_ev_charger,d_ev_charger1,d_extra_pillows_and_blankets,d_extra_pillows_and_blankets1,d_fire_extinguisher,d_fire_extinguisher1,d_first_aid_kit,d_first_aid_kit1,d_freezer,d_freezer1,d_hangers,d_hangers1,d_host_greets_you,d_host_greets_you1,d_hot_tub,d_hot_tub1,d_hot_water,d_hot_water1,d_hot_water_kettle,d_hot_water_kettle1,d_keypad,d_keypad1,d_laundromat_nearby,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,room_type,property_type,flag_review_scores_rating,flag_reviews_per_month,flag_days_sincelast,f_bathroom,f_bedroom,ln_bed,f_beds,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
unit,Entire home/apt,Entire/Apt,Floridsdorf,2,1,1,1,4.79,74,0.81,5,34,2012,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,45,3020771,Floridsdorf,Entire home/apt,unit,0,0,0,1,2,0,1,3,3,2
unit,Entire home/apt,Entire/Apt,Margareten,3,1,2,2,4.67,6,0.08,3,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,39,3023605,Margareten,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,2,1
unit,Entire home/apt,Entire/Apt,Alsergrund,2,1,0,1,4.71,9,0.1,3,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,3027183,Alsergrund,Entire home/apt,unit,0,0,0,1,1,0,1,3,2,1
unit,Entire home/apt,Entire/Apt,Neubau,4,1,2,2,4.81,179,2.55,2,236,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,55,3033633,Neubau,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,3,1
unit,Entire home/apt,Entire/Apt,Innere Stadt,3,1,1,1,4.5,14,0.16,3,335,2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,3051052,Innere Stadt,Entire home/apt,unit,0,0,0,1,2,0,1,3,2,1
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,6,1,2,3,4.5,132,1.79,2,361,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,79,3051323,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit,0,0,0,1,2,1.0986122886681098,2,3,3,1
unit,Entire home/apt,Entire/Apt,Favoriten,4,1,2,2,4.62,273,3.04,2,283,91,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,99,3051522,Favoriten,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,3,1
unit,Entire home/apt,Entire/Apt,Meidling,2,1,1,1,4.95,20,0.25,7,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,3056855,Meidling,Entire home/apt,unit,0,0,0,1,2,0,1,3,2,2
unit,Entire home/apt,Entire/Apt,Leopoldstadt,4,1,2,2,4.83,0,0.72,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220,3072203,Leopoldstadt,Entire home/apt,unit,1,1,1,1,2,0.6931471805599453,1,3,1,2
unit,Entire home/apt,Entire/Apt,Margareten,4,1,2,3,4.59,27,0.3,2,316,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,89,3077554,Margareten,Entire home/apt,unit,0,0,0,1,2,1.0986122886681098,2,3,2,1
